ItemID,Category,ParentCategory
1000002,Сладости для диабетиков,Сладости
1000046,Вода,Напитки
1000048,Сладости для диабетиков,Сладости
1000049,Вода,Напитки
1000061,Фрукты,Овощи и фрукты
1000062,Фрукты,Овощи и фрукты
1000064,Фрукты,Овощи и фрукты
1000066,Фрукты,Овощи и фрукты
1000076,Мыло,"Красота, гигиена, здоровье"
1000085,Товары для праздника,Для праздника
1000090,Конфеты,Сладости
1000093,Кастрюли,Кухонные принадлежности
1000095,"Чипсы, снеки, попкорн",Бакалея
1000096,Конфеты,Сладости
1000097,Крупы и бобовые,Бакалея
1000103,Специи и приправы,Бакалея
1000105,Сыры,Молочная продукция
1000111,Шоколадные плитки,Сладости
1000112,"Шоколад, батончики",Сладости
1000114,Специи и приправы,Бакалея
1000115,Кофе,Напитки
1000116,Овощные консервы,Овощи и фрукты
1000117,Овощи,Овощи и фрукты
1000123,Овощи,Овощи и фрукты
1000138,Сладости для диабетиков,Сладости
1000170,Готовые блюда охлажденные,Бакалея
1000177,Готовые блюда охлажденные,Бакалея
1000181,Готовые блюда охлажденные,Бакалея
1000182,Готовые блюда охлажденные,Бакалея
1000215,Яйцо,"Мясо, птица, рыба"
1000221,"Соки, нектары",Напитки
1000222,Пресервы и рыбные закуски,"Мясо, птица, рыба"
1000232,Пирожные,Мучные изделия
1000234,"Сушки, сухари",Мучные изделия
1000236,Кухонные инструменты,Кухонные принадлежности
1000237,"Соки, нектары",Напитки
1000238,Уход за лицом,"Красота, гигиена, здоровье"
1000240,"Восточные сладости, халва",Сладости
1000241,Кухонные инструменты,Кухонные принадлежности
1000243,Уход за лицом,"Красота, гигиена, здоровье"
1000244,Лакомства для животных,Зоотовары
1000245,Белый хлеб,Мучные изделия
1000249,Белый хлеб,Мучные изделия
1000250,Кухонные инструменты,Кухонные принадлежности
1000253,Лакомства для животных,Зоотовары
1000254,Яйцо,"Мясо, птица, рыба"
1000256,Кухонные инструменты,Кухонные принадлежности
1000258,Лакомства для животных,Зоотовары
1000259,Яйцо,"Мясо, птица, рыба"
1000261,Формы для выпечки,Кухонные принадлежности
1000264,"Хлеб, лаваш, лепешки",Мучные изделия
1000269,Булочки,Мучные изделия
1000306,Косметика,"Красота, гигиена, здоровье"
1000308,Булочки,Мучные изделия
1000310,Косметика,"Красота, гигиена, здоровье"
1000313,Булочки,Мучные изделия
1000316,Гирлянды,Для праздника
1000319,Косметика,"Красота, гигиена, здоровье"
1000320,Гирлянды,Для праздника
1000321,Булочки,Мучные изделия
1000322,Продукты быстрого приготовления,Бакалея
1000323,Косметика,"Красота, гигиена, здоровье"
1000324,"Подушечки, мюсли, хлопья",Бакалея
1000326,Гирлянды,Для праздника
1000327,Булочки,Мучные изделия
1000328,Продукты быстрого приготовления,Бакалея
1000331,Чай,Напитки
1000333,Средства для губ,"Красота, гигиена, здоровье"
1000337,Чай,Напитки
1000340,Гирлянды,Для праздника
1000342,Чай,Напитки
1000349,Гирлянды,Для праздника
1000351,Белый хлеб,Мучные изделия
1000352,Косметика,"Красота, гигиена, здоровье"
1000355,Гирлянды,Для праздника
1000359,Белый хлеб,Мучные изделия
1000361,Косметика,"Красота, гигиена, здоровье"
1000363,Гирлянды,Для праздника
1000364,Белый хлеб,Мучные изделия
1000366,Батарейки,Для дома и сада
1000367,Косметика,"Красота, гигиена, здоровье"
1000368,Конфеты,Сладости
1000370,Белый хлеб,Мучные изделия
1000371,Гирлянды,Для праздника
1000372,Батарейки,Для дома и сада
1000377,Елочные украшения,Для праздника
1000379,Батарейки,Для дома и сада
1000380,Косметика,"Красота, гигиена, здоровье"
1000381,Гирлянды,Для праздника
1000384,Батарейки,Для дома и сада
1000385,Белый хлеб,Мучные изделия
1000386,Косметика,"Красота, гигиена, здоровье"
1000388,Гирлянды,Для праздника
1000389,"Веники, совки, щетки",Для дома и сада
1000392,Косметика,"Красота, гигиена, здоровье"
1000395,Гирлянды,Для праздника
1000396,Щетки для стекла,Для дома и сада
1000406,Косметика,"Красота, гигиена, здоровье"
1000407,Гирлянды,Для праздника
1000414,Гирлянды,Для праздника
1000415,"Веники, совки, щетки",Для дома и сада
1000418,Сыры,Молочная продукция
1000419,Булочки,Мучные изделия
1000431,Белый хлеб,Мучные изделия
1000435,Белый хлеб,Мучные изделия
1000439,Торты,Мучные изделия
1000453,Торты,Мучные изделия
1000459,Торты,Мучные изделия
1000461,Рыбные консервы,"Мясо, птица, рыба"
1000462,Шампуни,"Красота, гигиена, здоровье"
1000463,Круассаны,Мучные изделия
1000467,Рыбные консервы,"Мясо, птица, рыба"
1000468,Круассаны,Мучные изделия
1000470,Косметика для глаз,"Красота, гигиена, здоровье"
1000479,Аэрозоли,Бытовая химия
1000482,Борьба с насекомыми,Для дома и сада
1000486,Уход за обувью,Бытовая химия
1000492,Косметика для глаз,"Красота, гигиена, здоровье"
1000500,Галантерейные аксессуары,"Красота, гигиена, здоровье"
1000506,Уход за обувью,Бытовая химия
1000527,Гирлянды,Для праздника
1000528,Косметика для глаз,"Красота, гигиена, здоровье"
1000531,Для ванны и туалета,Бытовая химия
1000532,Для ванны и туалета,Бытовая химия
1000539,"Творог, сырки",Молочная продукция
1000542,"Восточные сладости, халва",Сладости
1000543,"Восточные сладости, халва",Сладости
1000544,"Восточные сладости, халва",Сладости
1000560,Сладости,Сладости
1000576,Конфеты,Сладости
1000581,Готовые блюда охлажденные,Бакалея
1000582,Готовые блюда охлажденные,Бакалея
1000584,Готовые блюда охлажденные,Бакалея
1000594,Шоколадные плитки,Сладости
1000616,Гели для душа,"Красота, гигиена, здоровье"
1000617,Конфеты,Сладости
1000632,Фруктовые и ягодные консервы ,Овощи и фрукты
1000638,"Шоколад, батончики",Сладости
1000646,Сыры,Молочная продукция
1000647,Конфеты,Сладости
1000762,"Творог, сырки",Молочная продукция
1000763,"Творог, сырки",Молочная продукция
1000766,Пюре,Для детей
1000767,Пюре,Для детей
1000768,Пюре,Для детей
1000784,Лимонады,Напитки
1000785,Лимонады,Напитки
1000786,Лимонады,Напитки
1000788,"Сокосодержащие напитки, смузи",Напитки
1000799,Продукты быстрого приготовления,Бакалея
1000828,Сладости для диабетиков,Сладости
1000829,Пюре,Для детей
1000830,Сладости для диабетиков,Сладости
1000831,Устройства lil SOLID,Системы нагревания
1000832,Устройства lil SOLID,Системы нагревания
1000840,Пюре,Для детей
1000843,Сыры,Молочная продукция
1000846,Конфеты,Сладости
1000847,"Шоколад, батончики",Сладости
1000853,Мороженое,Молочная продукция
1000861,Овощные смеси,Овощи и фрукты
1000865,Овощные смеси,Овощи и фрукты
1000868,Пряники,Мучные изделия
1000871,Каши,Бакалея
1000873,Пюре,Для детей
1000880,Фруктовые и ягодные консервы ,Овощи и фрукты
1000881,Пюре,Для детей
1000883,Каши,Бакалея
1001023,"Творог, сырки",Молочная продукция
1001044,Готовые блюда охлажденные,Бакалея
1001048,Готовые блюда охлажденные,Бакалея
1001060,Готовые блюда охлажденные,Бакалея
1001064,Готовые блюда охлажденные,Бакалея
1001065,Готовые блюда охлажденные,Бакалея
1001068,"Йогурты, творожки, десерты",Молочная продукция
1001071,"Йогурты, творожки, десерты",Молочная продукция
1001093,"Колбасы, ветчина","Мясо, птица, рыба"
1001116,"Йогурты, творожки, десерты",Молочная продукция
1001117,"Йогурты, творожки, десерты",Молочная продукция
1001118,Капсулы для стирки и мытья,Бытовая химия
1001119,Капсулы для стирки и мытья,Бытовая химия
1001128,Капсулы для стирки и мытья,Бытовая химия
1001131,"Йогурты, творожки, десерты",Молочная продукция
1001133,"Йогурты, творожки, десерты",Молочная продукция
1001134,"Йогурты, творожки, десерты",Молочная продукция
1001135,"Йогурты, творожки, десерты",Молочная продукция
1001136,"Йогурты, творожки, десерты",Молочная продукция
1001137,"Йогурты, творожки, десерты",Молочная продукция
1001138,"Йогурты, творожки, десерты",Молочная продукция
1001139,"Йогурты, творожки, десерты",Молочная продукция
1001141,"Йогурты, творожки, десерты",Молочная продукция
1001156,Чай,Напитки
1001163,Чай,Напитки
1001176,Специи и приправы,Бакалея
1001187,Компоненты для выпечки,Мучные изделия
1001192,Компоненты для выпечки,Мучные изделия
1001196,Подарочные наборы,Для праздника
1001201,Для ванны и туалета,Бытовая химия
1001208,Пирожные,Мучные изделия
1001219,Компоненты для выпечки,Мучные изделия
1001221,Компоненты для выпечки,Мучные изделия
1001222,Пирожные,Мучные изделия
1001224,Чизкейки,Мучные изделия
1001231,Кофе,Напитки
1001250,Готовые блюда охлажденные,Бакалея
1001263,Готовые блюда охлажденные,Бакалея
1001264,Готовые блюда охлажденные,Бакалея
1001292,Рыбные консервы,"Мясо, птица, рыба"
1001294,Средства для загара и защиты от солнца,"Красота, гигиена, здоровье"
1001297,Аэрозоли,Бытовая химия
1001298,Аэрозоли,Бытовая химия
1001299,Аэрозоли,Бытовая химия
1001301,Аэрозоли,Бытовая химия
1001322,"Соки, нектары",Напитки
1001395,Кофе,Напитки
1001396,Орехи,Бакалея
1001397,Чистящие средства с дозатором,Бытовая химия
1001418,Сладости,Сладости
1001426,Сладости,Сладости
1001468,Конфеты,Сладости
1001470,Конфеты,Сладости
1001476,"Сосиски, сардельки, шпикачки","Мясо, птица, рыба"
1001499,"Шоколад, батончики",Сладости
1001503,Кондиционеры для белья,Бытовая химия
1001507,Кондиционеры для белья,Бытовая химия
1001509,Автоматические освежители,Бытовая химия
1001511,Подарочные наборы,Для праздника
1001515,Ароматизаторы,Бытовая химия
1001516,Гели для душа,"Красота, гигиена, здоровье"
1001520,Кондиционеры для белья,Бытовая химия
1001521,Гели для душа,"Красота, гигиена, здоровье"
1001523,Гели для душа,"Красота, гигиена, здоровье"
1001525,Гели для душа,"Красота, гигиена, здоровье"
1001526,Наборы по уходу за лицом,"Красота, гигиена, здоровье"
1001527,Кремы для тела,"Красота, гигиена, здоровье"
1001530,Средства до и после бритья,"Красота, гигиена, здоровье"
1001531,Мыло,"Красота, гигиена, здоровье"
1001535,Гели для душа,"Красота, гигиена, здоровье"
1001537,Специи и приправы,Бакалея
1001539,Пирожные,Мучные изделия
1001542,Пироги,Мучные изделия
1001545,Сухие корма,Зоотовары
1001553,Влажные корма,Зоотовары
1001554,Шампуни,"Красота, гигиена, здоровье"
1001559,Пироги,Мучные изделия
1001565,Специи и приправы,Бакалея
1001572,Крупы и бобовые,Бакалея
1001574,Крупы и бобовые,Бакалея
1001677,Кофе,Напитки
1001680,Кофе,Напитки
1001681,Сладости,Сладости
1001700,Карамель и леденцы,Сладости
1001716,"Шоколад, батончики",Сладости
1001726,"Шоколад, батончики",Сладости
1001730,Говядина,"Мясо, птица, рыба"
1001738,Мороженое,Молочная продукция
1001746,"Соки, нектары",Напитки
1001747,Печенье,Мучные изделия
1001750,Влажные корма,Зоотовары
1001757,Карамель и леденцы,Сладости
1001759,Влажные корма,Зоотовары
1001760,Печенье,Мучные изделия
1001778,Печенье,Мучные изделия
1001782,Печенье,Мучные изделия
1001830,Кофе,Напитки
1001835,Сыры,Молочная продукция
1001837,"Макароны, паста",Бакалея
1001838,"Макароны, паста",Бакалея
1001839,"Макароны, паста",Бакалея
1001844,"Творог, сырки",Молочная продукция
1001849,Шампуни,"Красота, гигиена, здоровье"
1001862,Пирожки,Мучные изделия
1001879,"Шоколад, батончики",Сладости
1001881,Автоматические освежители,Бытовая химия
1001882,Аэрозоли,Бытовая химия
1001883,Автоматические освежители,Бытовая химия
1001884,Автоматические освежители,Бытовая химия
1001885,Аэрозоли,Бытовая химия
1001887,Аэрозоли,Бытовая химия
1001888,Готовые блюда охлажденные,Бакалея
1001890,Кассеты и станки для бритья,"Красота, гигиена, здоровье"
1001891,Лакомства для животных,Зоотовары
1001897,Готовые блюда охлажденные,Бакалея
1001945,"Творог, сырки",Молочная продукция
1001946,"Творог, сырки",Молочная продукция
1001947,"Творог, сырки",Молочная продукция
1001948,"Творог, сырки",Молочная продукция
1001960,"Йогурты, творожки, десерты",Молочная продукция
1001981,Фруктовые и ягодные консервы ,Овощи и фрукты
1001982,Кофе,Напитки
1001984,Специи и приправы,Бакалея
1001985,Специи и приправы,Бакалея
1001990,Конструкторы,Для детей
1001992,Краски для волос,"Красота, гигиена, здоровье"
1001997,Белый хлеб,Мучные изделия
1001998,Специи и приправы,Бакалея
1002005,Специи и приправы,Бакалея
1002156,"Творог, сырки",Молочная продукция
1002169,"Масло, маргарин, спред",Бакалея
1002196,Свинина,"Мясо, птица, рыба"
1002198,Полуфабрикаты,Бакалея
1002214,Диабетическая продукция,"Красота, гигиена, здоровье"
1002215,Сладости для диабетиков,Сладости
1002216,Пастила,Сладости
1002229,Конфеты шоколадные,Сладости
1002230,Кофе,Напитки
1002254,Конструкторы,Для детей
1002277,Конструкторы,Для детей
1002284,Конструкторы,Для детей
1002288,Конструкторы,Для детей
1002302,Конструкторы,Для детей
1002317,Конструкторы,Для детей
1002323,Конструкторы,Для детей
1002324,Конструкторы,Для детей
1002334,Конструкторы,Для детей
1002337,Конструкторы,Для детей
1002339,Конструкторы,Для детей
1002345,Конструкторы,Для детей
1002348,Конструкторы,Для детей
1002359,Конструкторы,Для детей
1002363,Конструкторы,Для детей
1002364,Конструкторы,Для детей
1002365,Конструкторы,Для детей
1002371,"Гели, воски, пасты для укладки","Красота, гигиена, здоровье"
1002372,Конструкторы,Для детей
1002380,Сладости для диабетиков,Сладости
1002389,Средства до и после бритья,"Красота, гигиена, здоровье"
1002391,Мороженое,Молочная продукция
1002392,Кисломолочные продукты и закваски,Молочная продукция
1002395,"Йогурты, творожки, десерты",Молочная продукция
1002396,Растительное масло,Бакалея
1002404,"Йогурты, творожки, десерты",Молочная продукция
1002405,Жевательная резинка,Бакалея
1002408,"Йогурты, творожки, десерты",Молочная продукция
1002435,Наборы по уходу за лицом,"Красота, гигиена, здоровье"
1002436,Подарочные наборы,Для праздника
1002446,Конструкторы,Для детей
1002460,Конструкторы,Для детей
1002486,Средства до и после бритья,"Красота, гигиена, здоровье"
1002524,Сыры,Молочная продукция
1002526,Средства до и после бритья,"Красота, гигиена, здоровье"
1002529,Кисломолочные продукты и закваски,Молочная продукция
1002530,"Йогурты, творожки, десерты",Молочная продукция
1002578,Формы для выпечки,Кухонные принадлежности
1002593,"Колбасы, ветчина","Мясо, птица, рыба"
1002595,Фрукты,Овощи и фрукты
1002601,Жевательная резинка,Бакалея
1002603,Молочные коктейли и лакомства,Молочная продукция
1002610,Товары для праздника,Для праздника
1002625,Чай,Напитки
1002636,Конфеты,Сладости
1002645,"Сетевые фильтры, удлинители, тройники",Для дома и сада
1002671,Сладости,Сладости
1002685,Чай,Напитки
1002721,Гели для душа,"Красота, гигиена, здоровье"
1002725,Шоколадные плитки,Сладости
1002728,Шоколадные плитки,Сладости
1002729,Наборы по уходу за лицом,"Красота, гигиена, здоровье"
1002730,Подарочные наборы,Для праздника
1002737,Подарочные наборы,Для праздника
1002741,Шоколадные плитки,Сладости
1002853,Готовые блюда охлажденные,Бакалея
1002877,Формы для выпечки,Кухонные принадлежности
1002879,Шампуни,"Красота, гигиена, здоровье"
1002884,Готовые блюда замороженные,Бакалея
1002886,Готовые блюда замороженные,Бакалея
1002943,Чизкейки,Мучные изделия
1002944,Чизкейки,Мучные изделия
1002945,Чизкейки,Мучные изделия
1002949,Кексы,Мучные изделия
1002974,Сыры,Молочная продукция
1002978,Чистящие средства с дозатором,Бытовая химия
1002987,"Прокладки, тампоны","Красота, гигиена, здоровье"
1003015,Рыбные консервы,"Мясо, птица, рыба"
1003021,"Сосиски, сардельки, шпикачки","Мясо, птица, рыба"
1003028,Рыбные консервы,"Мясо, птица, рыба"
1003039,Печенье,Мучные изделия
1003042,Печенье,Мучные изделия
1003043,Каши,Бакалея
1003046,Каши,Бакалея
1003048,Овощи,Овощи и фрукты
1003049,Продукты быстрого приготовления,Бакалея
1003050,"Какао, шоколад",Напитки
1003053,Печенье,Мучные изделия
1003055,Печенье,Мучные изделия
1003057,Продукты быстрого приготовления,Бакалея
1003060,Каши,Бакалея
1003061,"Какао, шоколад",Напитки
1003062,Кофе,Напитки
1003065,Сухие корма,Зоотовары
1003070,Игрушки для животных,Зоотовары
1003071,"Поводки, рулетки",Зоотовары
1003073,Игрушки для животных,Зоотовары
1003075,Чай,Напитки
1003076,Диабетическая бакалея,Бакалея
1003077,Печенье,Мучные изделия
1003080,Средства по содержанию,Зоотовары
1003081,Кофе,Напитки
1003085,Каши,Бакалея
1003086,Косметика,"Красота, гигиена, здоровье"
1003089,Игрушки для животных,Зоотовары
1003092,Лотки и туалеты,Зоотовары
1003093,Игрушки для животных,Зоотовары
1003095,Средства по содержанию,Зоотовары
1003098,Игрушки для животных,Зоотовары
1003100,"Пеленки, подгузники, салфетки",Для детей
1003101,Диабетическая бакалея,Бакалея
1003103,Игрушки для животных,Зоотовары
1003107,Лежаки,Для дома и сада
1003114,Игрушки для животных,Зоотовары
1003117,Игрушки для животных,Зоотовары
1003120,Игрушки для животных,Зоотовары
1003122,"Миски, поилки, кормушки",Зоотовары
1003123,Бумажные салфетки и скатерти,Для праздника
1003127,Лотки и туалеты,Зоотовары
1003131,Лотки и туалеты,Зоотовары
1003133,Косметика,"Красота, гигиена, здоровье"
1003136,Текстиль,Текстиль
1003147,Игрушки для животных,Зоотовары
1003153,Игрушки для животных,Зоотовары
1003179,Бумажные салфетки и скатерти,Для праздника
1003184,Текстиль,Текстиль
1003243,Молоко,Молочная продукция
1003246,Кефир,Молочная продукция
1003252,Готовые блюда замороженные,Бакалея
1003253,Готовые блюда замороженные,Бакалея
1003278,Рыбные полуфабрикаты,"Мясо, птица, рыба"
1003291,Копченая и соленая рыба,"Мясо, птица, рыба"
1003294,Копченая и соленая рыба,"Мясо, птица, рыба"
1003298,Пироги,Мучные изделия
1003302,Чизкейки,Мучные изделия
1003325,Наборы по уходу за лицом,"Красота, гигиена, здоровье"
1003333,Гели для душа,"Красота, гигиена, здоровье"
1003338,Гели для душа,"Красота, гигиена, здоровье"
1003344,"Творог, сырки",Молочная продукция
1003346,"Творог, сырки",Молочная продукция
1003361,Сыры,Молочная продукция
1003363,Сыры,Молочная продукция
1003364,"Йогурты, творожки, десерты",Молочная продукция
1003365,"Йогурты, творожки, десерты",Молочная продукция
1003366,"Йогурты, творожки, десерты",Молочная продукция
1003367,"Йогурты, творожки, десерты",Молочная продукция
1003373,Печенье,Мучные изделия
1003376,Печенье,Мучные изделия
1003378,Печенье,Мучные изделия
1003380,Кексы,Мучные изделия
1003381,Конфеты,Сладости
1003382,Печенье,Мучные изделия
1003383,Печенье,Мучные изделия
1003417,Зелень и  салаты,Овощи и фрукты
1003422,Полуфабрикаты,Бакалея
1003427,Зелень и  салаты,Овощи и фрукты
1003431,Полуфабрикаты,Бакалея
1003435,Полуфабрикаты,Бакалея
1003437,Полуфабрикаты,Бакалея
1003438,Зелень и  салаты,Овощи и фрукты
1003443,Зелень и  салаты,Овощи и фрукты
1003447,Полуфабрикаты,Бакалея
1003461,Мыло,"Красота, гигиена, здоровье"
1003563,"Сокосодержащие напитки, смузи",Напитки
1003564,"Сокосодержащие напитки, смузи",Напитки
1003565,"Сокосодержащие напитки, смузи",Напитки
1003580,Украшения для интерьера,Для дома и сада
1003596,"Соки, нектары",Напитки
1003598,Энергетические напитки,Напитки
1003602,Энергетические напитки,Напитки
1003608,Сыры,Молочная продукция
1003611,Соль и пена для ванны,"Красота, гигиена, здоровье"
1003624,Первая помощь,"Красота, гигиена, здоровье"
1003638,Каши,Бакалея
1003643,Конфеты,Сладости
1003644,Соль и пена для ванны,"Красота, гигиена, здоровье"
1003645,Каши,Бакалея
1003646,Мороженое,Молочная продукция
1003647,Мороженое,Молочная продукция
1003651,Попкорн,Бакалея
1003656,Конструкторы,Для детей
1003667,Соусы,Бакалея
1003668,Напитки и соки,Напитки
1003672,Готовые блюда замороженные,Бакалея
1003678,Готовые блюда замороженные,Бакалея
1003681,"Колбасы, ветчина","Мясо, птица, рыба"
1003684,"Колбасы, ветчина","Мясо, птица, рыба"
1003686,"Колбасы, ветчина","Мясо, птица, рыба"
1003687,"Колбасы, ветчина","Мясо, птица, рыба"
1003695,Краски для волос,"Красота, гигиена, здоровье"
1003701,Ароматизаторы,Бытовая химия
1003703,Кофе,Напитки
1003704,Кофе,Напитки
1003722,Гели для душа,"Красота, гигиена, здоровье"
1003723,Сладости для диабетиков,Сладости
1003728,Подарочные наборы,Для праздника
1003730,Майонез,Бакалея
1003741,Кофе,Напитки
1003753,"Носки, гольфы",Текстиль
1003774,Шампуни,"Красота, гигиена, здоровье"
1003776,Мороженое,Молочная продукция
1003777,"Бальзамы, кондиционеры","Красота, гигиена, здоровье"
1003779,Шампуни,"Красота, гигиена, здоровье"
1003780,"Бальзамы, кондиционеры","Красота, гигиена, здоровье"
1003783,"Бальзамы, кондиционеры","Красота, гигиена, здоровье"
1003789,Шампуни,"Красота, гигиена, здоровье"
1003806,Фрукты,Овощи и фрукты
1003925,Для плит и духовок,Бытовая химия
1003926,Сыры,Молочная продукция
1003927,Газированные напитки,Напитки
1003928,"Морсы, узвары, кисели, компоты",Напитки
1003929,Растительные напитки и молоко,Напитки
1003930,Кремы для тела,"Красота, гигиена, здоровье"
1003985,Мясные полуфабрикаты,"Мясо, птица, рыба"
1003986,Полуфабрикаты,Бакалея
1003995,Лакомства для животных,Зоотовары
1003996,Лакомства для животных,Зоотовары
1004008,"Носки, гольфы",Текстиль
1004010,"Носки, гольфы",Текстиль
1004012,"Носки, гольфы",Текстиль
1004013,"Носки, гольфы",Текстиль
1004022,"Соки, нектары",Напитки
1004025,"Соки, нектары",Напитки
1004028,Сметана,Молочная продукция
1004030,Для стекол и зеркал,Бытовая химия
1004035,Сметана,Молочная продукция
1004038,"Йогурты, творожки, десерты",Молочная продукция
1004041,Йогурты,Молочная продукция
1004045,Йогурты,Молочная продукция
1004046,Йогурты,Молочная продукция
1004047,"Йогурты, творожки, десерты",Молочная продукция
1004056,Полуфабрикаты,Бакалея
1004057,Овощные консервы,Овощи и фрукты
1004060,Пасхальные наборы,Для праздника
1004061,Подарочные наборы,Для праздника
1004086,Конфеты,Сладости
1004101,Замороженные ягоды и фрукты,Овощи и фрукты
1004112,"Йогурты, творожки, десерты",Молочная продукция
1004113,"Йогурты, творожки, десерты",Молочная продукция
1004114,Мыло,"Красота, гигиена, здоровье"
1004116,"Йогурты, творожки, десерты",Молочная продукция
1004121,Мыло,"Красота, гигиена, здоровье"
1004127,"Йогурты, творожки, десерты",Молочная продукция
1004130,"Йогурты, творожки, десерты",Молочная продукция
1004133,Конфеты шоколадные,Сладости
1004136,"Йогурты, творожки, десерты",Молочная продукция
1004138,"Йогурты, творожки, десерты",Молочная продукция
1004139,Зелень и  салаты,Овощи и фрукты
1004141,Зелень и  салаты,Овощи и фрукты
1004144,Зелень и  салаты,Овощи и фрукты
1004145,Зелень и  салаты,Овощи и фрукты
1004146,Зелень и  салаты,Овощи и фрукты
1004147,"Йогурты, творожки, десерты",Молочная продукция
1004152,Зелень и  салаты,Овощи и фрукты
1004161,Зелень и  салаты,Овощи и фрукты
1004164,Зелень и  салаты,Овощи и фрукты
1004165,Зелень и  салаты,Овощи и фрукты
1004166,Зелень и  салаты,Овощи и фрукты
1004167,Зелень и  салаты,Овощи и фрукты
1004237,"Йогурты, творожки, десерты",Молочная продукция
1004260,Молоко,Молочная продукция
1004290,Кассеты и станки для бритья,"Красота, гигиена, здоровье"
1004296,Средства до и после бритья,"Красота, гигиена, здоровье"
1004305,Мясные консервы,"Мясо, птица, рыба"
1004320,"Соки, нектары",Напитки
1004324,"Соки, нектары",Напитки
1004342,"Соки, нектары",Напитки
1004356,Конфеты,Сладости
1004358,"Йогурты, творожки, десерты",Молочная продукция
1004365,"Йогурты, творожки, десерты",Молочная продукция
1004366,"Йогурты, творожки, десерты",Молочная продукция
1004369,"Йогурты, творожки, десерты",Молочная продукция
1004370,Специи и приправы,Бакалея
1004372,"Йогурты, творожки, десерты",Молочная продукция
1004373,"Йогурты, творожки, десерты",Молочная продукция
1004376,"Йогурты, творожки, десерты",Молочная продукция
1004377,"Йогурты, творожки, десерты",Молочная продукция
1004378,"Йогурты, творожки, десерты",Молочная продукция
1004379,"Йогурты, творожки, десерты",Молочная продукция
1004382,"Йогурты, творожки, десерты",Молочная продукция
1004387,Конфеты,Сладости
1004390,Конфеты,Сладости
1004396,Овощные смеси,Овощи и фрукты
1004397,Конфеты,Сладости
1004410,Конфеты,Сладости
1004428,Соль и пена для ванны,"Красота, гигиена, здоровье"
1004436,Соусы,Бакалея
1004437,"Бальзамы, кондиционеры","Красота, гигиена, здоровье"
1004440,Соусы,Бакалея
1004441,"Бальзамы, кондиционеры","Красота, гигиена, здоровье"
1004453,Зелень и  салаты,Овощи и фрукты
1004454,Зелень и  салаты,Овощи и фрукты
1004456,Зелень и  салаты,Овощи и фрукты
1004457,Зелень и  салаты,Овощи и фрукты
1004458,Зелень и  салаты,Овощи и фрукты
1004461,Зелень и  салаты,Овощи и фрукты
1004463,Сливки,Молочная продукция
1004555,"Печень, сердце, желудок, субпродукты","Мясо, птица, рыба"
1004567,Мороженое,Молочная продукция
1004568,Мороженое,Молочная продукция
1004569,Мороженое,Молочная продукция
1004572,Соусы,Бакалея
1004637,Зубные пасты,"Красота, гигиена, здоровье"
1004646,Конфеты,Сладости
1004654,Сыры,Молочная продукция
1004674,Растительное масло,Бакалея
1004681,Молочные коктейли и лакомства,Молочная продукция
1004694,Шоколадные плитки,Сладости
1004695,Молочные коктейли и лакомства,Молочная продукция
1004802,Копченая и соленая рыба,"Мясо, птица, рыба"
1004825,Пресервы и рыбные закуски,"Мясо, птица, рыба"
1004826,Пресервы и рыбные закуски,"Мясо, птица, рыба"
1004828,Морепродукты,"Мясо, птица, рыба"
1004829,Крабовое мясо и палочки,"Мясо, птица, рыба"
1004831,"Чипсы, снеки, попкорн",Бакалея
1004849,Таблетки для посудомоечных машин,Бытовая химия
1004853,Рыбные консервы,"Мясо, птица, рыба"
1004856,Чай,Напитки
1004858,Специи и приправы,Бакалея
1004874,"Сухари, баранки, соломка",Мучные изделия
1004908,"Творог, сырки",Молочная продукция
1004920,"Творог, сырки",Молочная продукция
1004921,"Творог, сырки",Молочная продукция
1004934,Игрушки для малышей,Для детей
1004952,Игрушки для малышей,Для детей
1004958,"Творог, сырки",Молочная продукция
1004960,"Творог, сырки",Молочная продукция
1004970,"Творог, сырки",Молочная продукция
1004971,Специи и приправы,Бакалея
1004972,Овощные консервы,Овощи и фрукты
1004973,Кисломолочные продукты и закваски,Молочная продукция
1004979,Сельдь,"Мясо, птица, рыба"
1004983,Печенье,Мучные изделия
1004984,Конфеты,Сладости
1004987,Овощные смеси,Овощи и фрукты
1004990,Грибы,Бакалея
1004991,Подарочные наборы,Для праздника
1004996,Грибы,Бакалея
1005000,Сметана,Молочная продукция
1005003,Овощные консервы,Овощи и фрукты
1005008,Сахар,Бакалея
1005025,Соленья,Овощи и фрукты
1005029,Соленья,Овощи и фрукты
1005166,Копченая и соленая рыба,"Мясо, птица, рыба"
1005185,Рыбные консервы,"Мясо, птица, рыба"
1005192,Сметана,Молочная продукция
1005196,Сметана,Молочная продукция
1005199,"Вяленая, сушеная рыба и морепродукты","Мясо, птица, рыба"
1005240,Растительные напитки и молоко,Напитки
1005241,Растительные напитки и молоко,Напитки
1005257,Чизкейки,Мучные изделия
1005268,Подарочные наборы,Для праздника
1005291,Каши,Бакалея
1005300,"Йогурты, творожки, десерты",Молочная продукция
1005303,Гели для душа,"Красота, гигиена, здоровье"
1005318,Шампуни,"Красота, гигиена, здоровье"
1005328,Чай,Напитки
1005337,Компоненты для выпечки,Мучные изделия
1005345,Универсальные чистящие средства,Бытовая химия
1005346,"Йогурты, творожки, десерты",Молочная продукция
